tract,region,n_lsRestaurants,n_subway,n_mcdonalds,state_fips,county_fips,unique_tract,total_population_estimate,median_age_total,median_age_male,median_age_female,unknown_race,white_alone,black_or_african_american_alone,american_indian_and_alaska_native_alone,asian_alone,native_hawaiian_and_other_pacific_islander_alone,some_other_race_alone,two_or_more_races,two_races_including_some_other_race,two_races_excluding_some_other_race_and_three_or_more_races,commute_unkown,commute_less_than_5_minutes,commute_5_to_9_minutes,commute_10_to_14_minutes,commute_15_to_19_minutes,commute_20_to_24_minutes,commute_25_to_29_minutes,commute_30_to_34_minutes,commute_35_to_39_minutes,commute_40_to_44_minutes,commute_45_to_59_minutes,commute_60_to_89_minutes,commute_90_or_more_minutes,annual_income_unknown,annual_income_less_than_$10_000,annual_income_$10_000_to_$14_999,annual_income_$15_000_to_$19_999,annual_income_$20_000_to_$24_999,annual_income_$25_000_to_$29_999,annual_income_$30_000_to_$34_999,annual_income_$35_000_to_$39_999,annual_income_$40_000_to_$44_999,annual_income_$45_000_to_$49_999,annual_income_$50_000_to_$59_999,annual_income_$60_000_to_$74_999,annual_income_$75_000_to_$99_999,annual_income_$100_000_to_$124_999,annual_income_$125_000_to_$149_999,annual_income_$150_000_to_$199_999,annual_income_$200_000_or_more,tract,region,count_new_bus_past_year,total_businesses,average_visitors,new_business_proportion,n_lsRestaurants,n_subway,n_mcdonalds,tract,count_bigger_places_by_tract,region,n_lsRestaurants,n_subway,n_mcdonalds,count_bigger_places_by_tract_2
08001009304,CO,2,0,0,08,001,08001009304,5756,36.96,38.86,33.46,5756,4898,76,41,435,4,31,271,0,271,2718,45,171,191,321,430,144,553,48,102,434,270,9,1330,32,0,64,44,20,56,11,46,145,141,163,189,168,120,63,68,08001009304,CO,9,11767,40.342653182629384,0.0007648508540834538,2,0,0,08001009304,1,CO,2,0,0,1
08001009306,CO,2,0,1,08,001,08001009306,3588,40.95,32.6,47.4,3588,3336,1,0,69,6,122,54,27,27,1845,25,159,200,189,302,86,399,40,68,249,81,47,813,0,9,0,0,18,9,35,81,43,147,76,170,67,80,34,44,08001009306,CO,2,5161,80.08486727378416,0.00038752179810114316,2,0,1,08001009306,1,CO,2,0,1,1
08001009307,CO,3,1,0,08,001,08001009307,3483,33.8,32.65,32.85,3483,2800,8,175,54,0,351,95,0,95,1751,8,141,317,197,158,182,235,130,33,120,145,85,793,40,0,31,8,28,7,10,12,31,85,130,236,112,29,26,8,08001009307,CO,7,5802,41.147707687004484,0.001206480523957256,3,1,0,08001009307,0,CO,3,1,0,0
08001009308,CO,1,0,0,08,001,08001009308,4445,36.25,36.475,35.125,4445,3785,0,58,0,0,493,109,30,79,2249,63,158,169,333,286,93,668,20,41,160,258,0,906,8,11,44,25,33,6,19,46,99,84,90,207,100,18,97,19,08001009308,CO,3,4822,41.075487349647446,0.0006221484861053505,1,0,0,08001009308,1,CO,1,0,0,1
08001009316,CO,2,1,0,08,001,08001009316,7372,35.6,36.86,32.78,7372,6830,156,45,0,0,318,23,14,9,3395,48,363,258,373,691,192,596,163,85,347,245,34,1596,11,35,171,41,57,93,60,85,168,150,175,213,77,117,65,78,08001009316,CO,6,9116,32.15785432207108,0.0006581834137779728,2,1,0,08001009316,0,CO,2,1,0,0
08001009318,CO,4,1,0,08,001,08001009318,6254,28,28.65,27.1,6254,5004,50,11,110,0,763,316,27,289,2864,116,46,310,448,344,180,586,88,278,299,141,28,1227,181,33,101,36,173,38,119,82,48,79,124,68,86,59,0,0,08001009318,CO,4,6859,44.49380376148127,0.000583175389998542,4,1,0,08001009318,1,CO,4,1,0,1
08001009319,CO,1,0,1,08,001,08001009319,2595,37.833332,35.366665,37.8,2595,2270,3,65,17,0,149,91,18,73,1192,39,69,137,280,188,7,112,88,34,103,121,14,618,11,30,50,31,73,51,69,20,21,37,44,85,40,22,34,0,08001009319,CO,1,5390,26.45974025974026,0.00018552875695732838,1,0,1,08001009319,0,CO,1,0,1,0
08001009320,CO,2,0,0,08,001,08001009320,2643,29.6,24.2,34.1,2643,2270,23,0,24,0,93,233,33,200,1342,28,18,114,135,191,66,417,47,31,139,156,0,626,23,15,53,52,47,46,17,33,41,70,93,127,9,0,0,0,08001009320,CO,10,8303,37.507888714922316,0.0012043839576056847,2,0,0,08001009320,1,CO,2,0,0,1
08001009321,CO,11,0,1,08,001,08001009321,4031,31.433332,32.866665,28.7,4031,3134,110,48,348,0,208,183,0,183,2096,40,125,194,263,268,178,407,26,108,219,139,129,858,28,17,18,83,44,51,28,11,49,124,146,96,75,19,31,38,08001009321,CO,3,4156,84.47954764196342,0.0007218479307025986,11,0,1,08001009321,1,CO,11,0,1,1
08001009323,CO,4,0,1,08,001,08001009323,3837,31.925,28.775,35.2,3837,3082,165,45,203,0,71,271,56,215,2002,102,140,312,257,244,170,292,55,105,194,99,32,933,27,38,19,74,24,57,100,94,52,62,105,114,87,40,24,16,08001009323,CO,15,23785,40.47584612150515,0.0006306495690561278,4,0,1,08001009323,1,CO,4,0,1,1
