placekey,location_name,brand_id,latitude,longitude,tract,county,city
222-224@5wf-zrh-bc5,Subway,SG_BRAND_de80593878cb1673c62a7f338dc7e4e1,44.079864,-111.454726,16043970200,16043,Ashton
222-224@5wr-gfw-y7q,Subway,SG_BRAND_de80593878cb1673c62a7f338dc7e4e1,42.887363,-112.450778,16005001300,16005,Pocatello
222-225@5q6-7qh-yjv,McDonald's,SG_BRAND_5179b21fc1d50950b99b4eecaa48c614,40.149713,-105.131473,08013013212,08013,Longmont
222-225@5q9-b3r-rp9,Subway,SG_BRAND_de80593878cb1673c62a7f338dc7e4e1,39.490891,-104.7309,08035013911,08035,Parker
222-226@5q9-bkg-h89,Subway,SG_BRAND_de80593878cb1673c62a7f338dc7e4e1,39.652526,-104.771637,08005084300,08005,Aurora
223-222@5q6-3xk-hqz,McDonald's,SG_BRAND_5179b21fc1d50950b99b4eecaa48c614,39.7395,-105.197364,08059010000,08059,Golden
223-222@5q6-79b-wff,McDonald's,SG_BRAND_5179b21fc1d50950b99b4eecaa48c614,39.914719,-105.057192,08014030300,08014,Broomfield
223-222@5q9-6pn-mkz,Subway,SG_BRAND_de80593878cb1673c62a7f338dc7e4e1,39.367466,-104.859208,08035014504,08035,Castle Rock
223-222@5q9-7fn-fpv,Subway,SG_BRAND_de80593878cb1673c62a7f338dc7e4e1,38.742453,-104.737866,08041004501,08041,Fountain
223-222@5q9-9z6-4gk,McDonald's,SG_BRAND_5179b21fc1d50950b99b4eecaa48c614,39.638083,-104.791849,08005084600,08005,Aurora
223-222@5q9-9zd-89z,McDonald's,SG_BRAND_5179b21fc1d50950b99b4eecaa48c614,39.653571,-104.776844,08005083300,08005,Aurora
223-222@5q9-b88-8gk,McDonald's,SG_BRAND_5179b21fc1d50950b99b4eecaa48c614,39.602015,-104.987567,08005005611,08005,Centennial
223-222@5q9-bfk-xyv,McDonald's,SG_BRAND_5179b21fc1d50950b99b4eecaa48c614,39.777785,-104.978736,08031001500,08031,Denver
223-222@5q9-bqr-d7q,McDonald's,SG_BRAND_5179b21fc1d50950b99b4eecaa48c614,39.710906,-104.987059,08031002901,08031,Denver
223-222@5q9-s7r-kj9,McDonald's,SG_BRAND_5179b21fc1d50950b99b4eecaa48c614,38.524493,-105.992841,08015000200,08015,Salida
223-222@5qb-fvc-49z,Subway,SG_BRAND_de80593878cb1673c62a7f338dc7e4e1,40.498999,-111.414068,49051960100,49051,Heber
